College,Course,Category,Cutoff Rank,Score
"Government College of Engineering, Amravati",Civil Engineering,EWS,45820,80.7328826
"Government College of Engineering, Amravati",Civil Engineering,EWS,54803,76.6166542
"Government College of Engineering, Amravati",Civil Engineering,EWS,85528,58.7429854
"Government College of Engineering, Amravati",Civil Engineering,EWS,53198,76.9213416
"Government College of Engineering, Amravati",Civil Engineering,EWS,55202,76.2843676
"Government College of Engineering, Amravati",Civil Engineering,EWS,47207,79.8081214
"Government College of Engineering, Amravati",Civil Engineering,EWS,58799,74.1935484
"Government College of Engineering, Amravati",Civil Engineering,EWS,55212,76.2843676
"Government College of Engineering, Amravati",Civil Engineering,EWS,39555,83.4053417
"Government College of Engineering, Amravati",Civil Engineering,EWS,58069,75.0737739
"Government College of Engineering, Amravati",Civil Engineering,EWS,81275,61.4332053
"Government College of Engineering, Amravati",Civil Engineering,EWS,55889,75.8673530
"Government College of Engineering, Amravati",Civil Engineering,EWS,71604,67.3938217
"Government College of Engineering, Amravati",Civil Engineering,EWS,59895,73.6426530
"Government College of Engineering, Amravati",Civil Engineering,EWS,85506,58.7429854
"Government College of Engineering, Amravati",Civil Engineering,EWS,50933,78.3308876
"Government College of Engineering, Amravati",Civil Engineering,EWS,66222,70.5106049
"Government College of Engineering, Amravati",Civil Engineering,EWS,114710,36.1619626
"Government College of Engineering, Amravati",Civil Engineering,EWS,25437,89.6901790
"Government College of Engineering, Amravati",Civil Engineering,EWS,51497,78.0675570
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,6839,97.3642653
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,14995,94.0441452
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,42063,82.3107244
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,10351,95.9541871
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,13430,94.6808113
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,10052,96.0633178
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,15513,93.8260094
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,7626,97.0482604
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,7359,97.1523959
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,18093,92.7333060
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,46043,80.6210251
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,8159,96.8581856
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,41373,82.4643661
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,14766,94.1664477
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,6790,97.3792778
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,45737,80.8641005
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,16792,93.2969235
"Government College of Engineering, Amravati",Computer Science and Engineering,EWS,10297,95.9738402
"Government College of Engineering, Amravati",Information Technology,EWS,10303,95.9738402
"Government College of Engineering, Amravati",Information Technology,EWS,18667,92.4862529
"Government College of Engineering, Amravati",Information Technology,EWS,43516,81.8534982
"Government College of Engineering, Amravati",Information Technology,EWS,23597,90.4575998
"Government College of Engineering, Amravati",Information Technology,EWS,16268,93.5213570
"Government College of Engineering, Amravati",Information Technology,EWS,12552,95.0744473
"Government College of Engineering, Amravati",Information Technology,EWS,16999,93.2108027
"Government College of Engineering, Amravati",Information Technology,EWS,11044,95.6795422
"Government College of Engineering, Amravati",Information Technology,EWS,9567,96.2787373
"Government College of Engineering, Amravati",Information Technology,EWS,21001,91.4895289
"Government College of Engineering, Amravati",Information Technology,EWS,55122,76.2843676
"Government College of Engineering, Amravati",Information Technology,EWS,16115,93.5868331
"Government College of Engineering, Amravati",Information Technology,EWS,12233,95.2175544
"Government College of Engineering, Amravati",Information Technology,EWS,10354,95.9541871
"Government College of Engineering, Amravati",Information Technology,EWS,66253,70.5106049
"Government College of Engineering, Amravati",Information Technology,EWS,30013,87.6984872
"Government College of Engineering, Amravati",Information Technology,EWS,9138,96.4414768
"Government College of Engineering, Amravati",Information Technology,EWS,71173,67.7119280
"Government College of Engineering, Amravati",Information Technology,EWS,30456,87.4817577
"Government College of Engineering, Amravati",Information Technology,EWS,12526,95.0827713
"Government College of Engineering, Amravati",Electrical Engineering,EWS,31193,87.2113119
"Government College of Engineering, Amravati",Electrical Engineering,EWS,45777,80.7328826
"Government College of Engineering, Amravati",Electrical Engineering,EWS,92626,54.0043616
"Government College of Engineering, Amravati",Electrical Engineering,EWS,39357,83.4300164
"Government College of Engineering, Amravati",Electrical Engineering,EWS,42146,82.2515860
"Government College of Engineering, Amravati",Electrical Engineering,EWS,47720,79.7807688
"Government College of Engineering, Amravati",Electrical Engineering,EWS,34759,85.4752553
"Government College of Engineering, Amravati",Electrical Engineering,EWS,26636,89.1600241
"Government College of Engineering, Amravati",Electrical Engineering,EWS,34812,85.4752553
"Government College of Engineering, Amravati",Electrical Engineering,EWS,121868,29.2444305
"Government College of Engineering, Amravati",Electrical Engineering,EWS,32994,86.3550668
"Government College of Engineering, Amravati",Electrical Engineering,EWS,87211,58.0840122
"Government College of Engineering, Amravati",Electrical Engineering,EWS,31414,87.0556299
"Government College of Engineering, Amravati",Electrical Engineering,EWS,92685,54.0043616
"Government College of Engineering, Amravati",Electrical Engineering,EWS,24140,90.1850615
"Government College of Engineering, Amravati",Electrical Engineering,EWS,37774,84.2884307
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,16356,93.4958740
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,27969,88.5960295
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,89313,56.6563970
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,30699,87.3774785
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,17854,92.8593873
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,21528,91.2629338
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,30062,87.6984872
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,17589,93.0014674
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,14555,94.2498036
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,25655,89.5231349
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,81186,61.6397637
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,41670,82.4443082
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,22022,91.0376802
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,16887,93.2464234
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,129864,20.1485207
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,EWS,50151,78.4161664
