Institute Code,College,Course Code,Course,Status,Category,Cutoff Rank,Score
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,45820,80.7328826
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,54803,76.6166542
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,85528,58.7429854
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,53198,76.9213416
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,55202,76.2843676
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,47207,79.8081214
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,58799,74.1935484
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,55212,76.2843676
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,39555,83.4053417
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,58069,75.0737739
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,81275,61.4332053
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,55889,75.8673530
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,71604,67.3938217
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,59895,73.6426530
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,85506,58.7429854
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,50933,78.3308876
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,66222,70.5106049
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,114710,36.1619626
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,25437,89.6901790
1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,,,51497,78.0675570
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,6839,97.3642653
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,14995,94.0441452
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,42063,82.3107244
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,10351,95.9541871
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,13430,94.6808113
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,10052,96.0633178
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,15513,93.8260094
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,7626,97.0482604
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,7359,97.1523959
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,18093,92.7333060
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,46043,80.6210251
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,8159,96.8581856
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,41373,82.4643661
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,14766,94.1664477
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,6790,97.3792778
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,45737,80.8641005
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,16792,93.2969235
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,,,10297,95.9738402
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,10303,95.9738402
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,18667,92.4862529
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,43516,81.8534982
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,23597,90.4575998
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,16268,93.5213570
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,12552,95.0744473
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,16999,93.2108027
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,11044,95.6795422
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,9567,96.2787373
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,21001,91.4895289
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,55122,76.2843676
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,16115,93.5868331
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,12233,95.2175544
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,10354,95.9541871
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,66253,70.5106049
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,30013,87.6984872
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,9138,96.4414768
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,71173,67.7119280
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,30456,87.4817577
1002,"Government College of Engineering, Amravati",100224610,Information Technology,,,12526,95.0827713
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,31193,87.2113119
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,45777,80.7328826
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,92626,54.0043616
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,39357,83.4300164
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,42146,82.2515860
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,47720,79.7807688
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,34759,85.4752553
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,26636,89.1600241
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,34812,85.4752553
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,121868,29.2444305
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,32994,86.3550668
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,87211,58.0840122
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,31414,87.0556299
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,92685,54.0043616
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,24140,90.1850615
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,,,37774,84.2884307
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,16356,93.4958740
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,27969,88.5960295
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,89313,56.6563970
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,30699,87.3774785
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,17854,92.8593873
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,21528,91.2629338
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,30062,87.6984872
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,17589,93.0014674
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,14555,94.2498036
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,25655,89.5231349
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,81186,61.6397637
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,41670,82.4443082
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,22022,91.0376802
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,16887,93.2464234
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,129864,20.1485207
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,50151,78.4161664
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,14528,94.2498036
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,62434,72.3940120
1002,"Government College of Engineering, Amravati",100237210,Electronics and Telecommunication Engg,,,20602,91.7108778
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,52017,77.9969992
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,70454,68.3823818
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,113354,37.6936381
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,110749,39.9066862
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,64948,71.2687819
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,60742,73.3779089
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,49557,78.8754662
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,73669,66.4309764
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,108341,42.4233825
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,73493,66.4309764
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,60133,73.4246062
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,36146,85.1537884
1002,"Government College of Engineering, Amravati",100246610,Instrumentation Engineering,,,51922,77.9969992
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,38651,84.0516274
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,61419,73.1851907
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,117713,33.2472877
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,56910,75.1725431
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,47365,79.8081214
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,50166,78.4161664
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,56879,75.1725431
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,43574,81.8534982
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,41931,82.3107244
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,59704,73.6426530
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,106253,43.5071268
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,72354,66.9527897
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,49939,78.5775598
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,55239,76.2843676
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,30370,87.5056399
1002,"Government College of Engineering, Amravati",100261210,Mechanical Engineering,,,42232,82.2515860
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,80967,61.6397637
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,84577,59.8623853
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,141262,3.8552498
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,131711,17.8500207
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,85735,58.7429854
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,76696,64.4512569
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,85239,58.8704519
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,37258,84.4681938
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,49613,78.7120349
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,104503,45.6445719
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,63559,71.8303504
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,,,109617,40.6521983
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,116850,34.1365462
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,73995,66.3914919
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,134873,13.5034179
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,124862,26.0127532
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,127354,22.9499823
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,103504,45.9664342
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,123353,27.3241113
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,,,99207,49.4761567
1005,"Sant Gadge Baba Amravati University,Amravati",100552410,Paper and Pulp Technology,,,121366,29.4111028
1005,"Sant Gadge Baba Amravati University,Amravati",100552410,Paper and Pulp Technology,,,137370,9.7383065
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,96082,51.4762755
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,106203,43.5071268
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,107265,42.9215913
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,39830,83.3890161
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,91096,55.2985075
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,88877,56.7366842
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,90395,55.7163295
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,51738,78.0359147
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,,,86378,58.5474069
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,74562,65.9622938
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,101880,47.3478734
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,80305,62.3996115
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,102191,46.8567142
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,117501,33.3408586
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,86831,58.1382561
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,82581,60.9799222
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,99853,49.0455617
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,94340,52.7422372
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,108125,42.5530244
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,124766,26.0127532
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,111381,39.4392454
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,59087,74.1356658
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,82736,60.9799222
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,68148,69.5976990
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,86167,58.5474069
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,68951,69.0354573
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,123039,27.6545345
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,87157,58.1195238
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,60201,73.4109953
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,,,96525,51.0567213
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,31195,87.2113119
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,45916,80.7328826
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,69281,68.9337823
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,31317,87.0718315
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,32367,86.6965956
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,40791,83.0041152
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,32855,86.3770498
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,28640,88.2793393
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,42392,82.2266135
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,96270,51.4762755
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,81697,61.4328470
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,29760,87.7770341
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,109414,41.0926455
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,112106,38.9925740
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,21624,91.2518343
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,28294,88.2852988
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,63337,71.8303504
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,28675,88.2671548
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,24413,90.0942655
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,24819,89.9662416
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,44126,81.2345291
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,27429,88.7938441
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,25524,89.5398277
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,63718,71.6671025
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,18389,92.6604063
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,90934,55.4490884
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,,,27755,88.6695314
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,68570,69.2172491
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,80470,62.3996115
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,82248,61.2935921
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,80510,61.6881259
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,78055,63.6910141
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,136539,11.2906846
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,74433,65.9622938
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,64063,71.6354089
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,66750,70.2813361
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,68446,69.3042857
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,68856,69.2172491
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,132632,16.3662375
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,121462,29.3464077
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,59637,73.6426530
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,77027,64.2666767
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,79823,62.4868401
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,62352,72.6119403
1012,"Government College of Engineering,Yavatmal",101229310,Electrical Engineering,,,67703,69.6572694
